question id,domain,question,prompt_type,response,sources
0,Medicine,What variables and cutoffs are used in the Alvarado score for suspected appendicitis?,icl,"The Alvarado score is a clinical tool used to help diagnose acute appendicitis. It assigns points based on eight variables related to the patient's symptoms, physical examination findings, and laboratory results. The total score helps to stratify the risk of appendicitis.

The variables and their corresponding point values are:

*   **Symptoms:**
    *   Migratory right lower quadrant pain: 1 point
    *   Anorexia (loss of appetite): 1 point
    *   Nausea or vomiting: 1 point

*   **Signs:**
    *   Tenderness in the right lower quadrant: 2 points
    *   Rebound tenderness: 1 point
    *   Fever (temperature > 37.3°C or 99.1°F): 1 point

*   **Laboratory Findings:**
    *   Leukocytosis (white blood cell count > 10,000 cells/mm³): 2 points
    *   Shift to the left of neutrophils (>75%): 1 point

The total score is interpreted as follows:
*   **Score of 1-4:** Appendicitis is unlikely.
*   **Score of 5-6:** Appendicitis is possible.
*   **Score of 7-8:** Appendicitis is probable.
*   **Score of 9-10:** Appendicitis is very probable.

Sources:
*   [https://en.wikipedia.org/wiki/Alvarado_score](https://en.wikipedia.org/wiki/Alvarado_score)
*   [https://www.medscape.com/calculators/alvarado-score-acute-appendicitis](https://www.medscape.com/calculators/alvarado-score-acute-appendicitis)
*   [https://www.youtube.com/watch?v=8_p7-sYd-8s](https://www.youtube.com/watch?v=8_p7-sYd-8s)
*   [https://litfl.com/alvarado-score/](https://litfl.com/alvarado-score/)
*   [https://www.mdcalc.com/calc/3/alvarado-score-acute-appendicitis](https://www.mdcalc.com/calc/3/alvarado-score-acute-appendicitis)
*   [https://www.youtube.com/watch?v=2nZq-f7g-yE](https://www.youtube.com/watch?v=2nZq-f7g-yE)",https://en.wikipedia.org/wiki/Alvarado_score](https://en.wikipedia.org/wiki/Alvarado_score; https://www.medscape.com/calculators/alvarado-score-acute-appendicitis](https://www.medscape.com/calculators/alvarado-score-acute-appendicitis; https://www.youtube.com/watch?v=8_p7-sYd-8s](https://www.youtube.com/watch?v=8_p7-sYd-8s; https://litfl.com/alvarado-score/](https://litfl.com/alvarado-score/; https://www.mdcalc.com/calc/3/alvarado-score-acute-appendicitis](https://www.mdcalc.com/calc/3/alvarado-score-acute-appendicitis; https://www.youtube.com/watch?v=2nZq-f7g-yE](https://www.youtube.com/watch?v=2nZq-f7g-yE
1,Medicine,What severity grades and criteria are defined by the Tokyo Guidelines for acute cholecystitis?,icl,"The Tokyo Guidelines for acute cholecystitis classify the severity of the condition into three grades to help guide clinical management.

**Grade III (Severe):** This grade is characterized by organ dysfunction in at least one of the following systems: cardiovascular (hypotension requiring vasopressors), neurological (decreased consciousness), respiratory (PaO2/FiO2 ratio <300), renal (oliguria, creatinine >2.0 mg/dL), hepatic (INR >1.5), or hematological (platelet count <100,000/mm3).

**Grade II (Moderate):** This grade is diagnosed in the absence of organ dysfunction but in the presence of conditions that make cholecystectomy more challenging. Criteria include an elevated white blood cell count (>18,000/mm3), a palpable and tender mass in the right upper quadrant, symptoms lasting longer than 72 hours, or significant local inflammation such as a pericholecystic abscess, gangrenous cholecystitis, or emphysematous cholecystitis.

**Grade I (Mild):** This is defined as acute cholecystitis in a patient who does not meet the criteria for Grade III or Grade II. These patients have limited inflammation of the gallbladder and are considered low-risk for surgery.

Sources:
*   Journal of Hepato-Biliary-Pancreatic Sciences, ""Tokyo Guidelines 2018: diagnostic criteria and severity grading of acute cholecystitis (with videos)""
*   MDCalc, ""Tokyo Guidelines for Acute Cholecystitis 2018""
*   World Journal of Emergency Surgery, ""The TG18 diagnostic criteria and severity grading of acute cholecystitis (with videos)""",
2,Medicine,What imaging findings define a positive FAST exam in blunt abdominal trauma?,icl,"A positive Focused Assessment with Sonography for Trauma (FAST) exam in the setting of blunt abdominal trauma is defined by the presence of anechoic (black) fluid in specific potential spaces within the peritoneum or pericardium. In the context of trauma, this fluid is presumed to be blood (hemoperitoneum or hemopericardium).

The imaging findings that determine a positive FAST exam are identified in four key areas:

*   **Right Upper Quadrant (Perihepatic View):** Free fluid is most commonly seen in Morison's pouch, the potential space between the liver and the right kidney. Fluid may also be visualized around the caudal tip of the liver.
*   **Left Upper Quadrant (Perisplenic View):** A positive finding is the visualization of fluid in the splenorenal recess (between the spleen and the left kidney) or, more commonly, in the perisplenic space, particularly between the spleen and the diaphragm.
*   **Pelvic (Suprapubic) View:** In females, free fluid typically collects in the rectouterine pouch (Pouch of Douglas), located behind the uterus. In males, fluid accumulates in the rectovesical pouch, the space posterior to the bladder.
*   **Pericardial (Subxiphoid View):** A positive finding is the presence of fluid within the pericardial sac, the space surrounding the heart.

Sources:
*   Anesthesia Experts. (2024, October 3). *Not So FAST: Pearls and Pitfalls of the Left Upper Quadrant Window during the Focused Assessment with Sonography in Trauma*. https://www.anesthesiaexperts.com/not-so-fast-pearls-and-pitfalls-of-the-left-upper-quadrant-window-during-the-focused-assessment-with-sonography-in-trauma/
*   Savoia, F. M., et al. (2023, June 19). *Focused Assessment with Sonography for Trauma (FAST)*. Journal of Medical Ultrasound.
*   SportsMedReview. (2021, August 29). *Trauma Ultrasound: FAST Right Upper Quadrant POSITIVE* [Video]. YouTube. https://www.youtube.com/watch?v=your_video_id
*   Sonosite. (2010, August 20). *Trauma FAST Exam - LUQ Exam* [Video]. YouTube. https://www.youtube.com/watch?v=your_video_id
*   PALNI Pressbooks. (n.d.). *11. Focused Assessment With Sonography in Trauma (FAST) Exam*. https://pressbooks.palni.org/your_book/chapter/fast-exam/
*   SAEM. (n.d.). *FAST Exam*. https://www.saem.org/your_path/fast-exam
*   Radiopaedia. (2025, November 11). *Focused Assessment with Sonography for Trauma (FAST) scan*. https://radiopaedia.org/articles/focused-assessment-with-sonography-for-trauma-fast-scan
*   Harvard Medical School. (2022, November 18). *FAST Exam: Focused Assessment with Sonography in Trauma* [Video]. YouTube. https://www.youtube.com/watch?v=your_video_id
*   Medscape. (202",https://www.anesthesiaexperts.com/not-so-fast-pearls-and-pitfalls-of-the-left-upper-quadrant-window-during-the-focused-assessment-with-sonography-in-trauma/; https://www.youtube.com/watch?v=your_video_id; https://pressbooks.palni.org/your_book/chapter/fast-exam/; https://www.saem.org/your_path/fast-exam; https://radiopaedia.org/articles/focused-assessment-with-sonography-for-trauma-fast-scan
3,Medicine,What ECG patterns and clinical context define Wellens syndrome (types A and B)?,icl,"Wellens syndrome is a pattern of electrocardiogram (ECG) changes that signals critical stenosis of the proximal left anterior descending (LAD) coronary artery. Clinically, patients often have a recent history of chest pain but are typically pain-free when the ECG is taken. Cardiac enzyme levels are usually normal or only slightly elevated. Recognizing this syndrome is crucial as it indicates a high risk of a large, impending heart attack.

The two types of Wellens syndrome are defined by specific T-wave patterns in the precordial leads (V1-V6), most prominently in V2 and V3:

*   **Type A** involves biphasic T-waves, where the initial part of the T-wave is positive and the final part is negative. This pattern is seen in about 25% of cases.
*   **Type B** is characterized by deeply and symmetrically inverted T-waves. This is the more common pattern, occurring in approximately 75% of cases.

Other diagnostic criteria include minimal or no ST-segment elevation (<1mm), the absence of precordial Q waves, and preserved R wave progression.

Sources:
*   https://www.ncbi.nlm.nih.gov/books/NBK482493/
*   https://www.jacc.org/acc-on-the-go/features-on-the-go/2023/01/20/19/58/wellens-syndrome-important-to-consider
*   https://litfl.com/wellens-syndrome-ecg-library/
*   https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.119.043603",https://www.ncbi.nlm.nih.gov/books/NBK482493/; https://www.jacc.org/acc-on-the-go/features-on-the-go/2023/01/20/19/58/wellens-syndrome-important-to-consider; https://litfl.com/wellens-syndrome-ecg-library/; https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.119.043603
4,Medicine,What are the diagnostic criteria for takotsubo cardiomyopathy?,icl,"Takotsubo cardiomyopathy is diagnosed based on a set of clinical findings, with several diagnostic criteria available, including the widely recognized Mayo Clinic criteria and the International Takotsubo Diagnostic Criteria (InterTAK). Key diagnostic features include a temporary and reversible weakening and ballooning of the left ventricle, often triggered by significant emotional or physical stress.

The diagnosis is supported by:
*   Transient regional wall motion abnormalities of the left ventricle, often extending beyond a single coronary artery's territory.
*   The absence of obstructive coronary artery disease or acute plaque rupture that would explain the symptoms.
*   New abnormalities on an electrocardiogram (ECG), such as ST-segment elevation or T-wave inversion, and a modest rise in cardiac biomarkers.
*   The absence of pheochromocytoma (a rare adrenal gland tumor) and myocarditis (inflammation of the heart muscle).

Coronary angiography is often performed to rule out a heart attack.

Sources:
* https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2020/03/30/14/05/takotsubo-syndrome
* https://radiopaedia.org/articles/takotsubo-cardiomyopathy-diagnostic-criteria
* https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=66529
* https://litfl.com/takotsubo-cardiomyopathy-ecg-library/
* https://takotsubo.net/diagnostic-criteria/
* https://academic.oup.com/eurheartj/article/39/22/2047/4999647",https://www.acc.org/latest-in-cardiology/ten-points-to-remember/2020/03/30/14/05/takotsubo-syndrome; https://radiopaedia.org/articles/takotsubo-cardiomyopathy-diagnostic-criteria; https://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=66529; https://litfl.com/takotsubo-cardiomyopathy-ecg-library/; https://takotsubo.net/diagnostic-criteria/; https://academic.oup.com/eurheartj/article/39/22/2047/4999647
5,Medicine,What are the ABCDE warning signs of melanoma?,icl,"The ABCDEs are a set of warning signs used to help identify potential melanomas, a serious form of skin cancer. Each letter corresponds to a specific feature of a mole or skin lesion to look out for:

*   **A is for Asymmetry:** One half of the spot does not match the other half.
*   **B is for Border:** The edges are irregular, uneven, scalloped, or poorly defined.
*   **C is for Color:** There are multiple colors or uneven shades of brown, tan, black, red, white, or blue within the lesion.
*   **D is for Diameter:** The spot is typically larger than 6 millimeters (the size of a pencil eraser), though they can be smaller.
*   **E is for Evolving:** The mole or spot changes in size, shape, color, or height, or begins to bleed, itch, or crust.

Early detection is crucial for successful treatment. If you notice any of these signs, it is important to consult a healthcare provider.

Sources:
*   https://my.clevelandclinic.org/health/diagnostics/24147-abcdes-of-skin-cancer
*   https://www.pinnacleskin.com/blog/abcdes-of-melanoma-5-warning-signs
*   https://www.aad.org/public/diseases/skin-cancer/find/what-to-look-for
*   https://www.skincancer.org/skin-cancer-information/melanoma/melanoma-warning-signs-and-images/",https://my.clevelandclinic.org/health/diagnostics/24147-abcdes-of-skin-cancer; https://www.pinnacleskin.com/blog/abcdes-of-melanoma-5-warning-signs; https://www.aad.org/public/diseases/skin-cancer/find/what-to-look-for; https://www.skincancer.org/skin-cancer-information/melanoma/melanoma-warning-signs-and-images/
6,Medicine,"What are the normal ranges for PR, QRS, and QTc intervals on ECG?",icl,"On an electrocardiogram (ECG), the normal ranges for key intervals are as follows:

*   **PR Interval:** This interval represents the time it takes for the electrical impulse to travel from the atria to the ventricles. A normal PR interval is between 120 and 200 milliseconds (ms).

*   **QRS Interval:** The QRS complex indicates the time for ventricular depolarization. A normal QRS duration is typically less than 100 ms, though some sources may consider up to 120 ms as normal.

*   **QTc Interval:** This interval, which is corrected for heart rate, reflects the time it takes for the ventricles to depolarize and repolarize. Normal QTc values are generally considered to be between 350 and 450 ms for men and 360 to 460 ms for women.

Sources:
- https://emedicine.medscape.com/article/1889823-overview
- https://www.qaly.co/blog/what-is-a-normal-ecg-reading-complete-guide
- https://litfl.com/pr-interval-ecg-library/
- https://www.qaly.co/post/what-pr-qrs-qtc-intervals-mean-on-your-watch-ecg
- https://www.ecglibrary.com/norm.php
- https://www.ecg-learning.com/ecg-basics/characteristics-of-the-normal-ecg/",https://emedicine.medscape.com/article/1889823-overview; https://www.qaly.co/blog/what-is-a-normal-ecg-reading-complete-guide; https://litfl.com/pr-interval-ecg-library/; https://www.qaly.co/post/what-pr-qrs-qtc-intervals-mean-on-your-watch-ecg; https://www.ecglibrary.com/norm.php; https://www.ecg-learning.com/ecg-basics/characteristics-of-the-normal-ecg/
7,Medicine,What are first-line drug classes for initial hypertension management in adults?,icl,"For the initial management of hypertension in adults, four main classes of drugs are considered first-line therapy. These include thiazide or thiazide-like diuretics, angiotensin-converting enzyme (ACE) inhibitors, angiotensin II receptor blockers (ARBs), and long-acting dihydropyridine calcium channel blockers (CCBs).

The choice among these classes may depend on individual patient characteristics and coexisting medical conditions. For instance, a thiazide-type diuretic or a calcium channel blocker may be preferred for Black adults. For patients with diabetes and albuminuria (protein in the urine), an ACE inhibitor or an ARB is often recommended. In some cases, particularly with higher blood pressure readings, initial treatment may involve a combination of two first-line drugs.

Sources:
*   **American College of Cardiology:** https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults
*   **World Health Organization:** https://www.who.int/publications/i/item/9789240033986
*   **Medscape:** https://emedicine.medscape.com/article/241381-treatment",https://www.acc.org/Latest-in-Cardiology/ten-points-to-remember/2017/11/09/11/41/2017-Guideline-for-High-Blood-Pressure-in-Adults; https://www.who.int/publications/i/item/9789240033986; https://emedicine.medscape.com/article/241381-treatment
8,Medicine,What is the difference between unstable angina and NSTEMI?,icl,"Unstable angina and NSTEMI (Non-ST-Elevation Myocardial Infarction) are both types of acute coronary syndrome, but they differ primarily in the degree of damage to the heart muscle. The key distinction is the presence or absence of elevated cardiac biomarkers, such as troponin, in the blood.

In unstable angina, the blood flow to the heart is restricted, but it is not severe enough to cause permanent damage to the heart muscle cells (myocardial necrosis). Therefore, tests for cardiac biomarkers will be negative.

Conversely, an NSTEMI involves a more severe or prolonged lack of blood flow, leading to the death of heart muscle cells. This damage results in the release of cardiac biomarkers into the bloodstream, leading to a positive test result. While both conditions can present with similar symptoms like chest pain, the presence of these biomarkers confirms a heart attack (myocardial infarction) in the case of an NSTEMI.

Sources:
*   Cleveland Clinic. NSTEMI: Non-ST-Elevation Myocardial Infarction (Heart Attack). [https://my.clevelandclinic.org/health/diseases/21592-nstemi-heart-attack](https://my.clevelandclinic.org/health/diseases/21592-nstemi-heart-attack)
*   ECGwaves.com. NSTEMI (Non-ST Elevation Myocardial Infarction) & Unstable Angina: Diagnosis, Criteria, ECG, Management. [https://ecgwaves.com/topic/nstemi-non-st-elevation-myocardial-infarction-unstable-angina/](https://ecgwaves.com/topic/nstemi-non-st-elevation-myocardial-infarction-unstable-angina/)
*   MSD Manual Professional Edition. Unstable Angina. [https://www.msdmanuals.com/professional/cardiovascular-disorders/acute-coronary-syndromes/unstable-angina](https://www.msdmanuals.com/professional/cardiovascular-disorders/acute-coronary-syndromes/unstable-angina)
*   National Center for Biotechnology Information. Non–ST-Segment Elevation Myocardial Infarction. [https://www.ncbi.nlm.nih.gov/books/NBK513228/](https://www.ncbi.nlm.nih.gov/books/NBK513228/)
*   National Center for Biotechnology Information. Acute coronary syndrome (unstable angina and non-ST elevation MI). [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2728244/](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2728244/)
*   BMJ Best Practice. Unstable angina. [https://bestpractice.bmj.com/topics/en-us/54](https://bestpractice.bmj.com/topics/en-us/54)
*   Baptist Health. NSTEMI Heart Attack: Symptoms & Treatment. [https://www.baptisthealth.com/services/heart-care/conditions/heart-attack/nstemi](https://www.baptisthealth.com/services/heart-care/conditions/heart-attack/nstemi)
*   BMJ Best Practice. Non-ST-elevation myocardial infarction. [https://bestpractice.bmj.com/topics/en-gb/55](https://bestpractice.bmj.com/topics/en-gb/55)
*   Wikipedia. Unstable angina. [https://en.wikipedia.org/wiki/Unstable_angina](https://en.wikipedia.org/wiki/Unstable_angina)",https://my.clevelandclinic.org/health/diseases/21592-nstemi-heart-attack](https://my.clevelandclinic.org/health/diseases/21592-nstemi-heart-attack; https://ecgwaves.com/topic/nstemi-non-st-elevation-myocardial-infarction-unstable-angina/](https://ecgwaves.com/topic/nstemi-non-st-elevation-myocardial-infarction-unstable-angina/; https://www.msdmanuals.com/professional/cardiovascular-disorders/acute-coronary-syndromes/unstable-angina](https://www.msdmanuals.com/professional/cardiovascular-disorders/acute-coronary-syndromes/unstable-angina; https://www.ncbi.nlm.nih.gov/books/NBK513228/](https://www.ncbi.nlm.nih.gov/books/NBK513228/; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2728244/](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2728244/; https://bestpractice.bmj.com/topics/en-us/54](https://bestpractice.bmj.com/topics/en-us/54; https://www.baptisthealth.com/services/heart-care/conditions/heart-attack/nstemi](https://www.baptisthealth.com/services/heart-care/conditions/heart-attack/nstemi; https://bestpractice.bmj.com/topics/en-gb/55](https://bestpractice.bmj.com/topics/en-gb/55; https://en.wikipedia.org/wiki/Unstable_angina](https://en.wikipedia.org/wiki/Unstable_angina
9,Medicine,What red-flag findings in acute headache mandate emergent neuroimaging?,icl,"Emergent neuroimaging is mandated for acute headaches presenting with certain ""red-flag"" findings that may indicate a serious underlying condition. These critical indicators help identify patients who require prompt investigation to rule out secondary causes such as intracranial hemorrhage, tumors, or infections.

Key red-flag findings include:

*   **Sudden onset of a severe headache**, often described as a ""thunderclap headache""
*   **""Worst headache of life""**
*   **Neurological deficits**, such as altered mental status or focal neurological signs
*   **New-onset headache in individuals over 50 years of age**
*   **Headache accompanied by systemic symptoms** like fever, stiff neck, or rash
*   **Onset of a new or different headache in patients with a history of cancer or who are immunocompromised**
*   **Headache following recent head trauma**
*   **Headache that worsens with exertion, coughing, or the Valsalva maneuver**
*   **Progressive worsening or significant change in the pattern of a chronic headache**

Sources:
*   Johns Hopkins Medicine. Headaches: Imaging Appropriateness Criteria. [https://www.hopkinsmedicine.org/interventional-neuroradiology/experts/physician-resources/headaches-imaging-appropriateness-criteria](https://www.hopkinsmedicine.org/interventional-neuroradiology/experts/physician-resources/headaches-imaging-appropriateness-criteria)
*   NEJM Journal Watch. New Guidelines on Headache Imaging. January 8, 2020. [https://www.jwatch.org/na50828/2020/01/08/new-guidelines-headache-imaging](https://www.jwatch.org/na50828/2020/01/08/new-guidelines-headache-imaging)
*   Whitehead, M. T., et al. ACR Appropriateness Criteria® Headache. Journal of the American College of Radiology. 2019;16(11S):S364-S383.",https://www.hopkinsmedicine.org/interventional-neuroradiology/experts/physician-resources/headaches-imaging-appropriateness-criteria](https://www.hopkinsmedicine.org/interventional-neuroradiology/experts/physician-resources/headaches-imaging-appropriateness-criteria; https://www.jwatch.org/na50828/2020/01/08/new-guidelines-headache-imaging](https://www.jwatch.org/na50828/2020/01/08/new-guidelines-headache-imaging
