question id,domain,question,prompt_type,response,sources
0,Medicine,What variables and cutoffs are used in the Alvarado score for suspected appendicitis?,direct,"Alvarado score (MANTRELS), max 10 points:
- Migration of pain to right lower quadrant (1)
- Anorexia (1)
- Nausea/vomiting (1)
- Right lower quadrant tenderness (2)
- Rebound tenderness (1)
- Fever >37.3°C/99.1°F (1)
- Leukocytosis >10,000/µL (2)
- Left shift (neutrophils >75%) (1). ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC10413131/?utm_source=openai))

Common score cutoffs for suspected appendicitis:
- 1–4: low likelihood
- 5–6: compatible; observe/imaging
- ≥7: probable; surgical consult/consider surgery. ([bmcmedicine.biomedcentral.com](https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139?utm_source=openai))

Sources:
https://pmc.ncbi.nlm.nih.gov/articles/PMC10413131/
https://journals.lww.com/md-journal/fulltext/2023/04250/does_one_of_the_two_most_commonly_used_scoring.31.aspx
https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139",https://pmc.ncbi.nlm.nih.gov/articles/PMC10413131/?utm_source=openai; https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139?utm_source=openai; https://pmc.ncbi.nlm.nih.gov/articles/PMC10413131/; https://journals.lww.com/md-journal/fulltext/2023/04250/does_one_of_the_two_most_commonly_used_scoring.31.aspx; https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139
0,Medicine,What variables and cutoffs are used in the Alvarado score for suspected appendicitis?,precise,"Alvarado score (MANTRELS) variables and points (max 10):
- Migration of pain to right lower quadrant: 1
- Anorexia: 1
- Nausea/vomiting: 1
- Right lower quadrant tenderness: 2
- Rebound tenderness: 1
- Elevated temperature (fever): 1
- Leukocytosis: 2
- Left shift of neutrophils: 1

Common cutoffs/interpretation:
- Low risk: 1–4 (useful to rule out; <5 has high sensitivity to exclude appendicitis)
- Intermediate: 5–6 (observe and/or image)
- High risk: ≥7 (suggests appendicitis; some guidelines consider ≥9 very high probability)

These thresholds are widely used; evidence supports <5 to rule out and ≥7 to rule in with caution, as specificity varies by population. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/sites/books/NBK493193/?utm_source=openai))

Sources:
https://www.ncbi.nlm.nih.gov/sites/books/NBK493193/
https://bestpractice.bmj.com/topics/en-us/290/diagnosis-approach
https://pubmed.ncbi.nlm.nih.gov/22204638/",https://www.ncbi.nlm.nih.gov/sites/books/NBK493193/?utm_source=openai; https://www.ncbi.nlm.nih.gov/sites/books/NBK493193/; https://bestpractice.bmj.com/topics/en-us/290/diagnosis-approach; https://pubmed.ncbi.nlm.nih.gov/22204638/
0,Medicine,What variables and cutoffs are used in the Alvarado score for suspected appendicitis?,verification,"Variables (points): migration to RLQ (1); anorexia/ketonuria (1); nausea/vomiting (1); RLQ tenderness (2); rebound pain (1); fever ≥37.3°C (1); leukocytosis >10,000/mm³ (2); left shift/neutrophils ≥75% (1). ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC4214266/?utm_source=openai))

Cutoffs: score <5 helps rule out appendicitis; score ≥7 suggests appendicitis and commonly prompts surgical consultation/operation. ([bmcmedicine.biomedcentral.com](https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139?utm_source=openai))

Source relevance: The peer‑reviewed review reproduces the original Alvarado variables with numeric thresholds, and the systematic review evaluates performance specifically at the <5 and ≥7 decision cut points. ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC4214266/?utm_source=openai))

Sources:
https://pmc.ncbi.nlm.nih.gov/articles/PMC4214266/
https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139",https://pmc.ncbi.nlm.nih.gov/articles/PMC4214266/?utm_source=openai; https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139?utm_source=openai; https://pmc.ncbi.nlm.nih.gov/articles/PMC4214266/; https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139
0,Medicine,What variables and cutoffs are used in the Alvarado score for suspected appendicitis?,icl,"Alvarado score (MANTRELS), max 10 points:
- Migration of pain to right lower quadrant: 1
- Anorexia: 1
- Nausea/vomiting: 1
- Right lower quadrant tenderness: 2
- Rebound pain: 1
- Elevated temperature (fever): 1
- Leukocytosis (>10,000/μL): 2
- Left shift (neutrophilia): 1. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/books/NBK355447/table/results.t13/?utm_source=openai))

Common cutoffs:
- <5: low probability; often suitable for rule-out/observation.
- 5–6: equivocal/intermediate; consider imaging/observation.
- ≥7: high probability; prompt surgical evaluation is typical. ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/22204638/?utm_source=openai))

Some guidance stratifies risk as 0–4 low, 5–8 intermediate, and 9–10 high. ([bestpractice.bmj.com](https://bestpractice.bmj.com/topics/en-us/290/diagnosis-approach?utm_source=openai))

Sources:
https://www.ncbi.nlm.nih.gov/books/NBK355447/table/results.t13/
https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139
https://bestpractice.bmj.com/topics/en-us/290/diagnosis-approach",https://www.ncbi.nlm.nih.gov/books/NBK355447/table/results.t13/?utm_source=openai; https://pubmed.ncbi.nlm.nih.gov/22204638/?utm_source=openai; https://bestpractice.bmj.com/topics/en-us/290/diagnosis-approach?utm_source=openai; https://www.ncbi.nlm.nih.gov/books/NBK355447/table/results.t13/; https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-9-139; https://bestpractice.bmj.com/topics/en-us/290/diagnosis-approach
1,Medicine,What severity grades and criteria are defined by the Tokyo Guidelines for acute cholecystitis?,direct,"Tokyo Guidelines grade acute cholecystitis as:
- Grade III (severe): Organ dysfunction in any one system—cardiovascular (hypotension requiring dopamine ≥5 μg/kg/min or any norepinephrine), neurologic (decreased consciousness), respiratory (PaO2/FiO2 <300), renal (oliguria or creatinine >2.0 mg/dL), hepatic (INR >1.5), or hematologic (platelets <100,000/mm3). ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/?utm_source=openai))
- Grade II (moderate): Any one of—WBC >18,000/μL; palpable tender right‑upper‑quadrant mass; symptoms >72 h; marked local inflammation (gangrenous cholecystitis, pericholecystic/hepatic abscess, biliary peritonitis, emphysematous cholecystitis). ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/?utm_source=openai))
- Grade I (mild): Does not meet Grade II or III criteria (typically no organ dysfunction and only mild gallbladder inflammation). ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/?utm_source=openai))

Sources:
https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/
https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-017-0319-6/tables/1
https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-017-0631-8/tables/1",https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/?utm_source=openai; https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/; https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-017-0319-6/tables/1; https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-017-0631-8/tables/1
1,Medicine,What severity grades and criteria are defined by the Tokyo Guidelines for acute cholecystitis?,precise,"Tokyo Guidelines (TG13; adopted unchanged in TG18) grade acute cholecystitis as: ([pubmed.ncbi.nlm.nih.gov](https://pubmed.ncbi.nlm.nih.gov/29032636/?utm_source=openai))
- Grade I (mild): no organ dysfunction; does not meet Grade II/III.
- Grade II (moderate): any of the following: WBC >18,000/μL; palpable tender RUQ mass; symptoms >72 h; marked local inflammation (gangrenous/emphysematous cholecystitis; pericholecystic or hepatic abscess; biliary peritonitis).
- Grade III (severe): organ dysfunction in any one system: cardiovascular (hypotension requiring dopamine ≥5 μg/kg/min or any norepinephrine); neurologic (decreased consciousness); respiratory (PaO2/FiO2 <300); renal (oliguria or creatinine >2.0 mg/dL); hepatic (PT-INR >1.5); hematologic (platelets <100,000/μL). ([pmc.ncbi.nlm.nih.gov](https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/?utm_source=openai))

Sources:
https://pubmed.ncbi.nlm.nih.gov/29032636/
https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/",https://pubmed.ncbi.nlm.nih.gov/29032636/?utm_source=openai; https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/?utm_source=openai; https://pubmed.ncbi.nlm.nih.gov/29032636/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/
1,Medicine,What severity grades and criteria are defined by the Tokyo Guidelines for acute cholecystitis?,verification,"Tokyo Guidelines severity grades for acute cholecystitis:
- Grade III (severe): Organ dysfunction in any one system—cardiovascular (hypotension requiring dopamine ≥5 μg/kg/min or any norepinephrine), neurological (decreased consciousness), respiratory (PaO2/FiO2 <300), renal (oliguria or creatinine >2.0 mg/dL), hepatic (PT-INR >1.5), or hematologic (platelets <100,000/μL). 
- Grade II (moderate): Any one of—WBC >18,000/μL; palpable tender right-upper-quadrant mass; duration of symptoms >72 hours; marked local inflammation (e.g., gangrenous cholecystitis, pericholecystic/hepatic abscess, biliary peritonitis, emphysematous cholecystitis). 
- Grade I (mild): Does not meet Grade II or III criteria (no organ dysfunction; mild local inflammation).

These sources present the TG13/TG18 severity definitions and explicit thresholds/tables used in current practice.

Sources:
https://www.jshbps.jp/modules/en/index.php?content_id=47
https://www.mdpi.com/2077-0383/12/14/4711
https://pmc.ncbi.nlm.nih.gov/articles/PMC10533096/
https://pmc.ncbi.nlm.nih.gov/articles/PMC11916569/",https://www.jshbps.jp/modules/en/index.php?content_id=47; https://www.mdpi.com/2077-0383/12/14/4711; https://pmc.ncbi.nlm.nih.gov/articles/PMC10533096/; https://pmc.ncbi.nlm.nih.gov/articles/PMC11916569/
1,Medicine,What severity grades and criteria are defined by the Tokyo Guidelines for acute cholecystitis?,icl,"Tokyo Guidelines (TG13; unchanged in TG18) classify acute cholecystitis into three grades:

- Grade III (severe): Organ dysfunction in any one system
  - Cardiovascular: hypotension requiring dopamine ≥5 μg/kg/min or any norepinephrine
  - Neurologic: decreased level of consciousness
  - Respiratory: PaO2/FiO2 < 300
  - Renal: oliguria or creatinine > 2.0 mg/dL
  - Hepatic: PT-INR > 1.5
  - Hematologic: platelets < 100,000/μL

- Grade II (moderate): Any of
  - WBC > 18,000/μL
  - Palpable tender right‑upper‑quadrant mass
  - Symptoms > 72 hours
  - Marked local inflammation (e.g., gangrenous cholecystitis, pericholecystic/hepatic abscess, biliary peritonitis, emphysematous cholecystitis)

- Grade I (mild): Does not meet Grade II or III criteria.

Sources:
https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/
https://pubmed.ncbi.nlm.nih.gov/29032636/
https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-017-0631-8/tables/1",https://pmc.ncbi.nlm.nih.gov/articles/PMC3429769/; https://pubmed.ncbi.nlm.nih.gov/29032636/; https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-017-0631-8/tables/1
2,Medicine,What imaging findings define a positive FAST exam in blunt abdominal trauma?,direct,"Positive FAST = visualization of free fluid in any standard FAST window in a trauma patient.

- RUQ: Anechoic fluid in the hepatorenal recess (Morison’s pouch), caudal liver tip/right paracolic gutter, or hepato-diaphragmatic space. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/books/NBK470479/?utm_source=openai))
- LUQ: Anechoic fluid in the splenorenal recess or perisplenic/subphrenic space. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/books/NBK470479/?utm_source=openai))
- Pelvis: Anechoic fluid posterior/superior to the bladder (rectovesical pouch in males; rectouterine pouch/Pouch of Douglas in females). Any amount in trauma context is considered positive (physiologic small pelvic fluid can occur in reproductive-age females). ([journals.lww.com](https://journals.lww.com/jmut/fulltext/2023/31020/focused_assessment_with_sonography_for_trauma.4.aspx?utm_source=openai))
- Pericardial view: Anechoic pericardial effusion consistent with hemopericardium. ([ncbi.nlm.nih.gov](https://www.ncbi.nlm.nih.gov/books/NBK470479/?utm_source=openai))

In short, any sonographic free fluid in peritoneal or pericardial spaces constitutes a positive FAST in blunt abdominal trauma. ([journals.lww.com](https://journals.lww.com/10.4103/IJCIIS.IJCIIS_7_17?utm_source=openai))

Sources:
https://www.acep.org/sonoguide/basic/fast
https://www.ncbi.nlm.nih.gov/books/NBK470479/
https://journals.lww.com/10.4103/IJCIIS.IJCIIS_7_17
https://www.acep.org/emultrasound/newsroom/jul2021/cases-that-count-serial-fast-examinations-in-a-patient-with-a-penetrating-stab-wound-to-the-buttock",https://www.ncbi.nlm.nih.gov/books/NBK470479/?utm_source=openai; https://journals.lww.com/jmut/fulltext/2023/31020/focused_assessment_with_sonography_for_trauma.4.aspx?utm_source=openai; https://journals.lww.com/10.4103/IJCIIS.IJCIIS_7_17?utm_source=openai; https://www.acep.org/sonoguide/basic/fast; https://www.ncbi.nlm.nih.gov/books/NBK470479/; https://journals.lww.com/10.4103/IJCIIS.IJCIIS_7_17; https://www.acep.org/emultrasound/newsroom/jul2021/cases-that-count-serial-fast-examinations-in-a-patient-with-a-penetrating-stab-wound-to-the-buttock
2,Medicine,What imaging findings define a positive FAST exam in blunt abdominal trauma?,precise,"Positive FAST = visualization of free fluid on ultrasound (anechoic or hypoechoic) in any dependent potential space:
- RUQ: hepatorenal recess (Morison’s pouch), caudal tip/perihepatic region.
- LUQ: perisplenic/subdiaphragmatic spaces (± splenorenal recess).
- Pelvis: posterior to the bladder (rectovesical space in males) or in the rectouterine pouch/Pouch of Douglas (and vesicouterine pouch) in females.
- Cardiac (part of FAST): anechoic fluid in the pericardial sac on subxiphoid view (hemopericardium).

In trauma, such free fluid is presumed blood unless another cause is evident; note that a trace of pelvic fluid can be physiologic in reproductive‑age women.

Sources:
https://www.acep.org/sonoguide/basic/fast
https://www.ncbi.nlm.nih.gov/books/NBK470479/
https://r3journal.arrs.org/acute-abdomen-point-of-care-ultrasound/",https://www.acep.org/sonoguide/basic/fast; https://www.ncbi.nlm.nih.gov/books/NBK470479/; https://r3journal.arrs.org/acute-abdomen-point-of-care-ultrasound/
